"";"powiattyp_nazwa";"l_oddzialow_i";"wojewodztwo";"l_uczniow_i";"jedn_id";"jedn_nazwa";"jedn_kodpoczt";"jedn_poczta";"jedn_ulica";"jedn_domlokal";"jedn_telefon";"jedn_faks";"jedn_email";"jedn_www";"rodzaj_jednostki";"zespol";"organ_prowadzacy";"publiczna";"specyfika_jednostki";"zwiazanie";"wojew_gus";"klasa_wielkosci_miejscowosci";"rodzaj_gminy";"braki_oddzialy";"sample.marker"
"717";"grodzki";"7.00";"WOJ. ŚLĄSKIE";195;190000030174;"I Liceum Ogólnokształcące";"41-200";"Sosnowiec";"Stanisława Staszica";"62";322661834;322661834;"lo1@sosnowiec.edu.pl";"www.rozdzienski.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"166";"ziemski";"18.00";"WOJ. ŁÓDZKIE";491;190000010370;"II Liceum Ogólnokształcące im. Królowej Jadwigi w Pabianicach";"95-200";"Pabianice";"Pułaskiego";"29";422152245;422152245;"2lopabianice_sekretariat@interia.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";10;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1534";"ziemski";"3.00";"WOJ. LUBELSKIE";150;190000065812;"Liceum Ogólnokształcące";"23-250";"Urzędów";"Wodna";"24";818225845;818225845;"zso@zso.urzedow.pl";"zso.urzedow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"wieś";"gmina wiejska";0;"A"
"1419";"ziemski";"6.00";"WOJ. WARMIŃSKO-MAZURSKIE";180;190000060237;"Liceum Ogólnokształcące";"11-130";"Orneta";"1 -go Maja";"28";552421109;552421109;"zso.orneta@op.pl";"www.zso.orneta.eu";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";28;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1092";"ziemski";"11.00";"WOJ. DOLNOŚLĄSKIE";294;190000045846;"IV Liceum Ogólnokształcące z Oddziałami Integracyjnymi w Wałbrzychu";"58-309";"Wałbrzych";"Sokołowskiego";"75";746648880;746648880;"sekretariat@zs4.walbrzych.pl";"www.zs4walbrzych.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";2;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1174";"ziemski";"10.00";"WOJ. POMORSKIE";234;190000049872;"I Liceum Ogólnokształcące im.Ziemi Żuławskiej";"82-100";"Nowy Dwór Gdański";"3 Maja";"3";552472021;552472021;"szkola@zs1ndg.internetdsl.pl";"www.zs1ndg.internetdsl.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";22;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"443";"ziemski";"13.00";"WOJ. MAZOWIECKIE";357;190000022308;"LO im. C. K. Norwida";"05-200";"Radzymin";"Konstytucji 3 Maja";"26";227865015;227865069;"lo_radzymin@wp.pl";"www.loradzymin.republika,pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1613";"ziemski";"25.00";"WOJ. LUBELSKIE";668;190000068613;"I Liceum Ogólnokształcące";"21-100";"LUBARTÓW";"CHOPINA";"6";818550110;818552770;"sekretariat@zs2.lubartow.pl";"www.zs2.lubartow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1338";"ziemski";"3.00";"WOJ. ZACHODNIOPOMORSKIE";41;190000056969;"Liceum Ogólnokształcące w Polanowie";"76-010";"Polanów";"Dworcowa";"12";943467535;943467535;"zsppolanow@o2.pl";"http://liceum.polanow.netstrefa.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1687";"ziemski";"11.00";"WOJ. PODLASKIE";305;190000071147;"I Liceum Ogólnokształcące im.Tadeusza Kościuszki w Bielsku Podlaskim";"17-100";"Bielsk Podlaski";"11 Listopada";"6";858332673;858332673;"1lo_bielsk_podlaski@wp.pl";"http://www.1lobielskpodlaski.za.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";20;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
