"";"powiattyp_nazwa";"l_oddzialow_i";"wojewodztwo";"l_uczniow_i";"jedn_id";"jedn_nazwa";"jedn_kodpoczt";"jedn_poczta";"jedn_ulica";"jedn_domlokal";"jedn_telefon";"jedn_faks";"jedn_email";"jedn_www";"rodzaj_jednostki";"zespol";"organ_prowadzacy";"publiczna";"specyfika_jednostki";"zwiazanie";"wojew_gus";"klasa_wielkosci_miejscowosci";"rodzaj_gminy";"braki_oddzialy"
"1";"grodzki";"3.00";"WOJ. MAZOWIECKIE";137;190000000005;"LVII Liceum Ogólnokształcące w Warszawie";"02-729";"Warszawa";"Rolna";"175D";226223792;228538702;"spzg@spzg.pl";"www.spzg.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"4";"ziemski";"9.00";"WOJ. LUBELSKIE";164;190000001161;"OGÓLNOKSZTAŁCĄCE LICEUM LOTNICZE";"08-521";"DĘBLIN";"2 PUŁKU KRAKÓW";"5";815519702;815519702;"oll@onet.pl";"www.lotnik.com";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";6;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"5";"ziemski";"6.00";"WOJ. MAŁOPOLSKIE";187;190000002040;"Liceum Ogólnokształcące";"32-005";"Niepołomice";"Pl. Kazmierza Wielkiego";"1";122811516;122811694;"zs_niepo@poczta.onet.pl";"www.lo-niepolomice.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"6";"ziemski";"2.00";"WOJ. MAŁOPOLSKIE";44;190000002590;"Liceum Ogólnokształcące";"32-640";"Zator";"Kongresowa";"11";338410803;338410803;"spzator@wp.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"7";"ziemski";"5.00";"WOJ. MAŁOPOLSKIE";103;190000003717;"Liceum Ogólnokształcące";"34-223";"ZAWOJA";"";"1570";338776044;338776044;"ZSZW.1570@interia.pl";"www.zswilczna.szkolnastrona.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"wieś";"gmina wiejska";0
"8";"ziemski";"5.00";"WOJ. MAŁOPOLSKIE";109;190000003986;"Liceum Ogólnokształcące w Żegocinie";"32-731";"Żegocina";"";"50";146132120;146132120;"zslgz1@wp.pl";"zswzegocinie.republika.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"wieś";"gmina wiejska";0
"9";"grodzki";"5.00";"WOJ. MAŁOPOLSKIE";105;190000004316;"VIII Liceum Ogólnokształcące";"33-101";"Tarnów";"E.Kwiatkowskiego";"17";146889900;146889902;"zst@zst.tarnow.pl";"www.zst.tarnow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"11";"grodzki";"2.00";"WOJ. MAŁOPOLSKIE";44;190000004327;"XII Liceum Ogólnokształcące";"33-100";"Tarnów";"Szujskiego";"13";146216184;146216183;"sekretzsme@umt.tarnow.pl";"www.zsme.tarnow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"12";"grodzki";"2.00";"WOJ. MAŁOPOLSKIE";56;190000004331;"XVII Liceum Ogólnokształcące";"33-100";"Tarnów";"Legionów";"15";146213566;146213566;"szkola@zsb.tarnow.pl";"www.zsb.tarnow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"13";"grodzki";"11.00";"WOJ. MAŁOPOLSKIE";338;190000004346;"VI Liceum Ogólnokształcące";"33-100";"Tarnów";"Warzywna";"3";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
