NAZWA;OPIS;OPIS2;SLOWA;TYP;SKALA;ROZMIAR;DOKLADNOSC;WART_MIN;WART_MAX;ETYKIETA;WARUNEK
ID;Id szko³y;Id szko³y;id szko³y;liczba ca³kowita;porz¹dkowa;3;;1;120;;
H1;Wielkoœæ miejscowoœci, w której le¿y szko³a.;Wielkoœæ miejscowoœci, w której le¿y szko³a.;wielkoœæ miejscowoœci;liczba ca³kowita;porz¹dkowa;7;;100;5000000;;
H2;Liczba mieszkañców gminy/dzielnicy, w której znajduje siê szko³a.;Liczba mieszkañców gminy/dzielnicy, w której znajduje siê szko³a.;liczba mieszkañców gminy;liczba ca³kowita;porz¹dkowa;7;;100;5000000;;
H3;Status administracyjny gminy:;Status administracyjny gminy:;status administracyjny gminy;liczba ca³kowita;nominalna;1;;1;6;"1:dzielnice m. st. Warszawa
2:gmina miejska
3:gmina miejsko-wiejska
4:gmina wiejska
5:miasto w gminie miejsko-wiejskiej
6:obszar wiejski w gminie miejsko-wiejskiej";
H4_1;Struktura wieku: - 0-9 lat (procentowo);Struktura wieku: - 0-9 lat (procentowo);struktura wieku;liczba rzeczywista;ilorazowa;8;6;0;1;;
H4_2;Struktura wieku: - 10-14 lat (procentowo);Struktura wieku: - 10-14 lat (procentowo);struktura wieku;liczba rzeczywista;ilorazowa;8;6;0;1;;
H4_3;Struktura wieku: - 15-19 lat (procentowo);Struktura wieku: - 15-19 lat (procentowo);struktura wieku;liczba rzeczywista;ilorazowa;8;6;0;1;;
H4_4;Struktura wieku: - 20-29 lat (procentowo);Struktura wieku: - 20-29 lat (procentowo);struktura wieku;liczba rzeczywista;ilorazowa;8;6;0;1;;
H4_5;Struktura wieku: - 30-39 lat (procentowo);Struktura wieku: - 30-39 lat (procentowo);struktura wieku;liczba rzeczywista;ilorazowa;8;6;0;1;;
H4_6;Struktura wieku: - 40-49 lat (procentowo);Struktura wieku: - 40-49 lat (procentowo);struktura wieku;liczba rzeczywista;ilorazowa;8;6;0;1;;
H4_7;Struktura wieku: - 50-59 lat (procentowo);Struktura wieku: - 50-59 lat (procentowo);struktura wieku;liczba rzeczywista;ilorazowa;8;6;0;1;;
H4_8;Struktura wieku: - 60 lat i wiêcej (procentowo);Struktura wieku: - 60 lat i wiêcej (procentowo);struktura wieku;liczba rzeczywista;ilorazowa;8;6;0;1;;
H5_1;Struktura p³ci: - mê¿czyŸni (procentowo);Struktura p³ci: - mê¿czyŸni (procentowo);struktura p³ci;liczba rzeczywista;ilorazowa;8;6;0;1;;
H5_2;Struktura p³ci: - kobiety (procentowo);Struktura p³ci: - kobiety (procentowo);struktura p³ci;liczba rzeczywista;ilorazowa;8;6;0;1;;
H6;Stopa bezrobocia rejestrowanego. (procentowo);Stopa bezrobocia rejestrowanego. (procentowo);stopa bezrobocia;liczba rzeczywista;ilorazowa;8;6;0;1;;
H7;Ludnoœæ w wieku przedprodukcyjnym. (procentowo);Ludnoœæ w wieku przedprodukcyjnym. (procentowo);ludnoœæ, wiek przedprodukcyjny;liczba rzeczywista;ilorazowa;8;6;0;1;;
H8;Ludnoœæ w wieku produkcyjnym.  (procentowo);Ludnoœæ w wieku produkcyjnym.  (procentowo);ludnoœæ, wiek produkcyjny;liczba rzeczywista;ilorazowa;8;6;0;1;;
H9;Ludnoœæ w wieku poprodukcyjnym. (procentowo);Ludnoœæ w wieku poprodukcyjnym. (procentowo);ludnoœæ, wiek poprodukcyjny;liczba rzeczywista;ilorazowa;8;6;0;1;;
H10;WskaŸniki obci¹¿enia demograficznego: ludnoœæ w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym. - WskaŸnik;WskaŸniki obci¹¿enia demograficznego: ludnoœæ w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym. - WskaŸnik;obci¹¿enie demograficzne;liczba rzeczywista;ilorazowa;6;2;0;900;;
H11;WskaŸniki obci¹¿enia demograficznego: ludnoœæ w wieku poprodukcyjnym na 100 osób w wieku przedprodukcyjnym. - WskaŸnik;WskaŸniki obci¹¿enia demograficznego: ludnoœæ w wieku poprodukcyjnym na 100 osób w wieku przedprodukcyjnym. - WskaŸnik;obci¹¿enie demograficzne;liczba rzeczywista;ilorazowa;6;2;0;900;;
H12;WskaŸniki obci¹¿enia demograficznego: ludnoœæ w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym. - WskaŸnik;WskaŸniki obci¹¿enia demograficznego: ludnoœæ w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym. - WskaŸnik;obci¹¿enie demograficzne;liczba rzeczywista;ilorazowa;6;2;0;900;;
H13;Poziom przestêpczoœci w regionie (procentowo);Poziom przestêpczoœci w regionie (procentowo);poziom przestêpczoœci;liczba rzeczywista;ilorazowa;8;6;0;1;;
H14;Saldo migracji gminnych wewnêtrznych na pobyt sta³y. - WskaŸnik;Saldo migracji gminnych wewnêtrznych na pobyt sta³y. - WskaŸnik;migracje gminne wewnêtrzne;liczba ca³kowita;porz¹dkowa;7;;-1000000;1000000;;
H15;Saldo migracji zagranicznych na pobyt sta³y. - WskaŸnik;Saldo migracji zagranicznych na pobyt sta³y. - WskaŸnik;migracje zagraniczne;liczba ca³kowita;porz¹dkowa;7;;-1000000;1000000;;
H16_1;Stan cywilny: - kawaler\panna (procentowo);Stan cywilny: - kawaler\panna (procentowo);stan cywilny;liczba rzeczywista;ilorazowa;8;6;0;1;;
H16_2;Stan cywilny: - w zwi¹zku nieformalnym (procentowo);Stan cywilny: - w zwi¹zku nieformalnym (procentowo);stan cywilny;liczba rzeczywista;ilorazowa;8;6;0;1;;
H16_3;Stan cywilny: - ¿onaty\zamê¿na (procentowo);Stan cywilny: - ¿onaty\zamê¿na (procentowo);stan cywilny;liczba rzeczywista;ilorazowa;8;6;0;1;;
H16_4;Stan cywilny: - rozwiedziony(a)\w separacji (procentowo);Stan cywilny: - rozwiedziony(a)\w separacji (procentowo);stan cywilny;liczba rzeczywista;ilorazowa;8;6;0;1;;
H16_5;Stan cywilny: - wdowiec\wdowa (procentowo);Stan cywilny: - wdowiec\wdowa (procentowo);stan cywilny;liczba rzeczywista;ilorazowa;8;6;0;1;;
H17_1;Posiadanie dzieci: - posiada dzieci,  które siê usamodzielni³y (procentowo);Posiadanie dzieci: - posiada dzieci,  które siê usamodzielni³y (procentowo);posiadanie dzieci;liczba rzeczywista;ilorazowa;8;6;0;1;;
H17_2;Posiadanie dzieci: - nie posiada dzieci, które siê usamodzielni³y (procentowo);Posiadanie dzieci: - nie posiada dzieci, które siê usamodzielni³y (procentowo);posiadanie dzieci;liczba rzeczywista;ilorazowa;8;6;0;1;;
H18_1;Wielkoœæ gospodarstw domowych: -  1-osobowe (procentowo);Wielkoœæ gospodarstw domowych: -  1-osobowe (procentowo);wielkoœæ gospodarstw domowych;liczba rzeczywista;ilorazowa;8;6;0;1;;
H18_2;Wielkoœæ gospodarstw domowych: - 2-osobowe (procentowo);Wielkoœæ gospodarstw domowych: - 2-osobowe (procentowo);wielkoœæ gospodarstw domowych;liczba rzeczywista;ilorazowa;8;6;0;1;;
H18_3;Wielkoœæ gospodarstw domowych: - 3-osobowe (procentowo);Wielkoœæ gospodarstw domowych: - 3-osobowe (procentowo);wielkoœæ gospodarstw domowych;liczba rzeczywista;ilorazowa;8;6;0;1;;
H18_4;Wielkoœæ gospodarstw domowych: - 4-osobowe (procentowo);Wielkoœæ gospodarstw domowych: - 4-osobowe (procentowo);wielkoœæ gospodarstw domowych;liczba rzeczywista;ilorazowa;8;6;0;1;;
H18_5;Wielkoœæ gospodarstw domowych: - 5-osobowe (procentowo);Wielkoœæ gospodarstw domowych: - 5-osobowe (procentowo);wielkoœæ gospodarstw domowych;liczba rzeczywista;ilorazowa;8;6;0;1;;
H18_6;Wielkoœæ gospodarstw domowych: - 6 lub wiêcej osób (procentowo);Wielkoœæ gospodarstw domowych: - 6 lub wiêcej osób (procentowo);wielkoœæ gospodarstw domowych;liczba rzeczywista;ilorazowa;8;6;0;1;;
H19_1;Struktura wykszta³cenia: - podstawowe (procentowo);Struktura wykszta³cenia: - podstawowe (procentowo);struktura wykszta³cenia;liczba rzeczywista;ilorazowa;8;6;0;1;;
H19_2;Struktura wykszta³cenia: - zasadnicze zawodowe (procentowo);Struktura wykszta³cenia: - zasadnicze zawodowe (procentowo);struktura wykszta³cenia;liczba rzeczywista;ilorazowa;8;6;0;1;;
H19_3;Struktura wykszta³cenia: - œrednie (procentowo);Struktura wykszta³cenia: - œrednie (procentowo);struktura wykszta³cenia;liczba rzeczywista;ilorazowa;8;6;0;1;;
H19_4;Struktura wykszta³cenia: - ponadœrednie (procentowo);Struktura wykszta³cenia: - ponadœrednie (procentowo);struktura wykszta³cenia;liczba rzeczywista;ilorazowa;8;6;0;1;;
H19_5;Struktura wykszta³cenia: - brak odpowiedzi (procentowo);Struktura wykszta³cenia: - brak odpowiedzi (procentowo);struktura wykszta³cenia;liczba rzeczywista;ilorazowa;8;6;0;1;;
H20_1;Sytuacja zawodowa: - ma sta³¹ pracê (procentowo);Sytuacja zawodowa: - ma sta³¹ pracê (procentowo);sytuacja zawodowa;liczba rzeczywista;ilorazowa;8;6;0;1;;
H20_2;Sytuacja zawodowa: - pracuje dorywczo (procentowo);Sytuacja zawodowa: - pracuje dorywczo (procentowo);sytuacja zawodowa;liczba rzeczywista;ilorazowa;8;6;0;1;;
H20_3;Sytuacja zawodowa: - bezrobotny (procentowo);Sytuacja zawodowa: - bezrobotny (procentowo);sytuacja zawodowa;liczba rzeczywista;ilorazowa;8;6;0;1;;
H20_4;Sytuacja zawodowa: - emeryt\rencista (procentowo);Sytuacja zawodowa: - emeryt\rencista (procentowo);sytuacja zawodowa;liczba rzeczywista;ilorazowa;8;6;0;1;;
H20_5;Sytuacja zawodowa: - uczeñ\student (procentowo);Sytuacja zawodowa: - uczeñ\student (procentowo);sytuacja zawodowa;liczba rzeczywista;ilorazowa;8;6;0;1;;
H20_6;Sytuacja zawodowa: - zajmuje siê domem (procentowo);Sytuacja zawodowa: - zajmuje siê domem (procentowo);sytuacja zawodowa;liczba rzeczywista;ilorazowa;8;6;0;1;;
H20_7;Sytuacja zawodowa: - urlop wychowawczy (procentowo);Sytuacja zawodowa: - urlop wychowawczy (procentowo);sytuacja zawodowa;liczba rzeczywista;ilorazowa;8;6;0;1;;
H20_8;Sytuacja zawodowa: - nie pracuje z innych powodów (procentowo);Sytuacja zawodowa: - nie pracuje z innych powodów (procentowo);sytuacja zawodowa;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_1;Status spo³eczno-zawodowy: - dyrektorzy, wolne zawody (procentowo);Status spo³eczno-zawodowy: - dyrektorzy, wolne zawody (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_2;Status spo³eczno-zawodowy: - pozostali umys³owi (procentowo);Status spo³eczno-zawodowy: - pozostali umys³owi (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_3;Status spo³eczno-zawodowy: - w³aœciciele firm (procentowo);Status spo³eczno-zawodowy: - w³aœciciele firm (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_4;Status spo³eczno-zawodowy: - robotnicy wykwalifikowani (procentowo);Status spo³eczno-zawodowy: - robotnicy wykwalifikowani (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_5;Status spo³eczno-zawodowy: - robotnicy do prac prostych (procentowo);Status spo³eczno-zawodowy: - robotnicy do prac prostych (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_6;Status spo³eczno-zawodowy: - rolnicy indywidualni (procentowo);Status spo³eczno-zawodowy: - rolnicy indywidualni (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_7;Status spo³eczno-zawodowy: - emeryci\renciœci (procentowo);Status spo³eczno-zawodowy: - emeryci\renciœci (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_8;Status spo³eczno-zawodowy: - studenci\uczniowie (procentowo);Status spo³eczno-zawodowy: - studenci\uczniowie (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_9;Status spo³eczno-zawodowy: - bezrobotni (procentowo);Status spo³eczno-zawodowy: - bezrobotni (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_10;Status spo³eczno-zawodowy: - zajmuj¹cy siê domem (procentowo);Status spo³eczno-zawodowy: - zajmuj¹cy siê domem (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_11;Status spo³eczno-zawodowy: - pozostali (procentowo);Status spo³eczno-zawodowy: - pozostali (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H21_12;Status spo³eczno-zawodowy: - brak odpowiedzi (procentowo);Status spo³eczno-zawodowy: - brak odpowiedzi (procentowo);status spo³eczno-zawodowy;liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_1;Miesiêczny dochód gospodarstw domowych (netto): - do 200 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - do 200 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_2;Miesiêczny dochod gospodarstw domowych (netto): - 201-400 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 201-400 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_3;Miesiêczny dochod gospodarstw domowych (netto): - 401-600 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 401-600 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_4;Miesiêczny dochod gospodarstw domowych (netto): - 601-800 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 601-800 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_5;Miesiêczny dochod gospodarstw domowych (netto): - 801-1000 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 801-1000 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_6;Miesiêczny dochod gospodarstw domowych (netto): - 1001-1200 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 1001-1200 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_7;Miesiêczny dochod gospodarstw domowych (netto): - 1201-1400 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 1201-1400 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_8;Miesiêczny dochod gospodarstw domowych (netto): - 1401-1600 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 1401-1600 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_9;Miesiêczny dochod gospodarstw domowych (netto): - 1601-1800 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 1601-1800 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_10;Miesiêczny dochod gospodarstw domowych (netto): - 1801-2000 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 1801-2000 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_11;Miesiêczny dochod gospodarstw domowych (netto): - 2001-2500 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 2001-2500 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_12;Miesiêczny dochod gospodarstw domowych (netto): - 2501-3000 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 2501-3000 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_13;Miesiêczny dochod gospodarstw domowych (netto): - 3001-5000 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - 3001-5000 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_14;Miesiêczny dochod gospodarstw domowych (netto): - ponad 5000 PLN (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - ponad 5000 PLN (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_15;Miesiêczny dochod gospodarstw domowych (netto): - trudno powiedzieæ (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - trudno powiedzieæ (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H22_16;Miesiêczny dochod gospodarstw domowych (netto): - odmowa (procentowo);Miesiêczny dochod gospodarstw domowych (netto): - odmowa (procentowo);miesiêczny dochod gospodarstw domowych (netto);liczba rzeczywista;ilorazowa;8;6;0;1;;
H23_1;Samoocena sytuacji materialnej: - nie starcza nawet na najpilniejsze potrzeby (procentowo);Samoocena sytuacji materialnej: - nie starcza nawet na najpilniejsze potrzeby (procentowo);samoocena sytuacji materialnej;liczba rzeczywista;ilorazowa;8;6;0;1;;
H23_2;Samoocena sytuacji materialnej: - trzeba odmawiaæ sobie wielu rzeczy, aby starczy³o na ¿ycie (procentowo);Samoocena sytuacji materialnej: - trzeba odmawiaæ sobie wielu rzeczy, aby starczy³o na ¿ycie (procentowo);samoocena sytuacji materialnej;liczba rzeczywista;ilorazowa;8;6;0;1;;
H23_3;Samoocena sytuacji materialnej: - na codzieñ starcza, nie starcza na wiêksze wydatki (procentowo);Samoocena sytuacji materialnej: - na codzieñ starcza, nie starcza na wiêksze wydatki (procentowo);samoocena sytuacji materialnej;liczba rzeczywista;ilorazowa;8;6;0;1;;
H23_4;Samoocena sytuacji materialnej: - starcza na wszystkie wydatki (procentowo);Samoocena sytuacji materialnej: - starcza na wszystkie wydatki (procentowo);samoocena sytuacji materialnej;liczba rzeczywista;ilorazowa;8;6;0;1;;
H23_5;Samoocena sytuacji materialnej: - jesteœmy zamo¿ni (procentowo);Samoocena sytuacji materialnej: - jesteœmy zamo¿ni (procentowo);samoocena sytuacji materialnej;liczba rzeczywista;ilorazowa;8;6;0;1;;
H23_6;Samoocena sytuacji materialnej: - trudno powiedzieæ (procentowo);Samoocena sytuacji materialnej: - trudno powiedzieæ (procentowo);samoocena sytuacji materialnej;liczba rzeczywista;ilorazowa;8;6;0;1;;
H24;Œredni dochód rozporz¹dzalny gospodarstw domowych (na 1 osobê). - w z³otych;Œredni dochód rozporz¹dzalny gospodarstw domowych (na 1 osobê). - w z³otych;dochód rozporz¹dzalny;liczba rzeczywista;ilorazowa;9;2;0;900000;;
H25;Zaopatrzenie gospodarstw domowych w samochód. - samochód - tak (procentowo);Zaopatrzenie gospodarstw domowych w samochód. - samochód - tak (procentowo);zaopatrzenie gospodarstw domowych, samochód;liczba rzeczywista;ilorazowa;8;6;0;1;;
H26;Zaopatrzenie gospodarstw domowych w komputer. - komputer stacjonarny - tak  (procentowo);Zaopatrzenie gospodarstw domowych w komputer. - komputer stacjonarny - tak  (procentowo);zaopatrzenie gospodarstw domowych, komputer;liczba rzeczywista;ilorazowa;8;6;0;1;;
H27;Zaopatrzenie gospodarstw domowych w telewizjê kablow¹. - TV kablowa - tak (procentowo);Zaopatrzenie gospodarstw domowych w telewizjê kablow¹. - TV kablowa - tak (procentowo);zaopatrzenie gospodarstw domowych, TV kablowa;liczba rzeczywista;ilorazowa;8;6;0;1;;
H28;Zaopatrzenie gospodarstw domowych w antenê satelitarn¹. - antena satelitarna - tak  (procentowo);Zaopatrzenie gospodarstw domowych w antenê satelitarn¹. - antena satelitarna - tak  (procentowo);zaopatrzenie gospodarstw domowych, antena satelitarna;liczba rzeczywista;ilorazowa;8;6;0;1;;
H29;Dotacje celowe z bud¿etu pañstwa na 1 mieszkañca gminy. - w z³otych;Dotacje celowe z bud¿etu pañstwa na 1 mieszkañca gminy. - w z³otych;dotacje celowe z bud¿etu pañstwa;liczba rzeczywista;ilorazowa;9;2;0;900000;;
H30;Dochody gminy ogó³em na 1 mieszkañca. - w z³otych;Dochody gminy ogó³em na 1 mieszkañca. - w z³otych;dochody gminy ogó³em;liczba rzeczywista;ilorazowa;9;2;0;900000;;
H31;Wydatki z bud¿etu gminy ogó³em na 1 mieszkañca. - w z³otych;Wydatki z bud¿etu gminy ogó³em na 1 mieszkañca. - w z³otych;wydatki z bud¿etu gminy;liczba rzeczywista;ilorazowa;9;2;0;900000;;
