"";"H1";"H10";"H11";"H12";"H13";"H14";"H15";"H16_1";"H16_2";"H16_3";"H16_4";"H16_5";"H17_1";"H17_2";"H18_1";"H18_2";"H18_3";"H18_4";"H18_5";"H18_6";"H19_1";"H19_2";"H19_3";"H19_4";"H19_5";"H2";"H20_1";"H20_2";"H20_3";"H20_4";"H20_5";"H20_6";"H20_7";"H20_8";"H21_1";"H21_10";"H21_11";"H21_12";"H21_2";"H21_3";"H21_4";"H21_5";"H21_6";"H21_7";"H21_8";"H21_9";"H22_1";"H22_10";"H22_11";"H22_12";"H22_13";"H22_14";"H22_15";"H22_16";"H22_2";"H22_3";"H22_4";"H22_5";"H22_6";"H22_7";"H22_8";"H22_9";"H23_1";"H23_2";"H23_3";"H23_4";"H23_5";"H23_6";"H24";"H25";"H26";"H27";"H28";"H29";"H3";"H30";"H31";"H32";"H33";"H34";"H35";"H36";"H37";"H38";"H39";"H40";"H41";"H42";"H43";"H44";"H45";"H46";"H47";"H48";"H49";"H4_1";"H4_2";"H4_3";"H4_4";"H4_5";"H4_6";"H4_7";"H4_8";"H50";"H51";"H52";"H53";"H54";"H55";"H56";"H57";"H58";"H59";"H5_1";"H5_2";"H6";"H60";"H61";"H62";"H63";"H64";"H65";"H66";"H67";"H68";"H69";"H7";"H70";"H71";"H72";"H73";"H74";"H75";"H76";"H77";"H78";"H79";"H8";"H80";"H81";"H82";"H83";"H84";"H85";"H9";"ID"
"41";"19237";"53,1";"95,1";"25,9";"0,0199";"-55";"3";"0,31";"0,04";"0,52";"0,08";"0,06";"0,33";"0,67";"0,19";"0,24";"0,25";"0,21";"0,09";"0,02";"0,12";"0,18";"0,42";"0,28";"0";"19237";"0,46";"0,03";"0,1";"0,21";"0,15";"0,03";"0,03";"0";"0,04";"0,05";"0";"0,02";"0,14";"0,07";"0,16";"0,03";"0,03";"0,21";"0,15";"0,1";"0,06";"0,04";"0,11";"0,12";"0,07";"0,29";"0";"0,01";"0,01";"0";"0,03";"0,04";"0,04";"0,07";"0,07";"0,04";"0,02";"0,13";"0,75";"0,09";"0";"0,02";"978,49";"0,64";"0,66";"0,49";"0,23";"896,46";"2";"2646,06";"2468,49";"905,47";"546,07";"0";"1";"2";"2";"2";"";"2";"6";"11,05";"2";"254";"2";"6700";"2";"0";"2";"0,090555";"0,051151";"0,0629";"0,157457";"0,14129";"0,11691";"0,179082";"0,200655";"60";"1";"niemiecki";"2";"1";"1";"1";"2";"0";"2";"0,473";"0,527";"0,143";"2";"5";"0";"14";"10";"0";"0";"9997";"1";"2";"0,178";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,653";"1";"3";"Dla pracowników samorzšdu, dla firm i bezrobotnych";"0";"0";"";"0,169";"1"
"24";"756183";"53,4";"125,3";"29,7";"0,0441";"110";"306";"0,33";"0,08";"0,36";"0,1";"0,13";"0,33";"0,67";"0,39";"0,3";"0,2";"0,08";"0,02";"0,01";"0,06";"0,19";"0,35";"0,39";"0,01";"756183";"0,55";"0,08";"0,03";"0,21";"0,1";"0,02";"0,01";"0,01";"0,09";"0,02";"0,01";"0,05";"0,18";"0,07";"0,21";"0,03";"0";"0,21";"0,1";"0,03";"0,04";"0,06";"0,08";"0,09";"0,15";"0,23";"0";"0";"0,03";"0,02";"0,03";"0,05";"0,06";"0,05";"0,05";"0,04";"0,02";"0,19";"0,55";"0,2";"0,01";"0,03";"1107,54";"0,42";"0,64";"0,36";"0,18";"749,33";"2";"4479,95";"4453,06";"1209,7";"530,17";"99997";"1";"2";"2";"2";"";"2";"88";"13,31";"71";"278";"77";"1478463";"40";"0";"3";"0,088054";"0,03908";"0,050414";"0,162519";"0,173908";"0,119266";"0,145703";"0,221056";"55";"2";"";"7";"2";"2";"0";"0";"1";"1";"0,4673";"0,5327";"0,047";"0";"72";"14";"86";"0";"6";"4";"19";"1";"1";"0,155";"1";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0,652";"1";"9997";"Regularna nauka jezyka";"0";"0";"";"0,194";"2"
"25";"51605";"57,9";"129,6";"32,7";"0,0289";"-202";"-6";"0,24";"0,04";"0,56";"0,07";"0,09";"0,38";"0,62";"0,16";"0,27";"0,29";"0,18";"0,05";"0,05";"0,2";"0,36";"0,31";"0,13";"0";"51605";"0,33";"0,07";"0,14";"0,31";"0,11";"0,02";"0";"0,02";"0,03";"0,02";"0,02";"0,02";"0,06";"0,01";"0,22";"0,07";"0";"0,31";"0,11";"0,14";"0,01";"0,11";"0,09";"0,09";"0,05";"0,08";"0";"0,02";"0,01";"0,02";"0,04";"0,08";"0,1";"0,07";"0,1";"0,11";"0,04";"0,31";"0,56";"0,08";"0";"0";"1026,36";"0,28";"0,42";"0,23";"0,29";"788,8";"2";"2752,65";"3157,3";"770,43";"595,4";"0";"1";"2";"2";"2";"";"2";"7";"12,16";"7";"146";"3";"12042";"1";"0";"1";"0,082143";"0,043697";"0,059878";"0,154927";"0,124639";"0,121984";"0,174886";"0,237845";"3";"2";"";"10";"1";"1";"0";"0";"0";"0";"0,475";"0,525";"0,173";"0";"22";"0";"47";"2";"1";"0";"9997";"0";"1";"0,16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,634";"0";"0";"";"0";"0";"";"0,207";"3"
"26";"16254";"51,5";"106,8";"26,6";"0,0298";"-1";"-7";"0,28";"0,1";"0,4";"0,09";"0,13";"0,4";"0,6";"0,16";"0,37";"0,25";"0,21";"0";"0";"0,16";"0,21";"0,38";"0,25";"0";"26206";"0,43";"0,01";"0,04";"0,31";"0,16";"0,05";"0";"0";"0,02";"0,05";"0";"0,01";"0,19";"0,07";"0,13";"0,03";"0";"0,31";"0,16";"0,04";"0";"0,08";"0,14";"0,1";"0,22";"0,26";"0";"0,01";"0";"0";"0,01";"0,03";"0,09";"0,01";"0,03";"0,03";"0,01";"0,11";"0,41";"0,43";"0,01";"0,02";"1115,73";"0,59";"0,55";"0,19";"0,5";"482,73";"5";"2397,2";"2561,5";"1058,75";"398,37";"0";"1";"2";"2";"2";"";"2";"4";"11,32";"1";"144";"1";"68466";"0";"0";"4";"0,084102";"0,045835";"0,059308";"0,158853";"0,148087";"0,127661";"0,163775";"0,212378";"36";"2";"";"1";"1";"2";"0";"0";"1";"0";"0,48";"0,52";"0,186";"0";"3";"0";"8";"0";"0";"0";"9997";"0";"2";"0,164";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,66";"0";"0";"";"0";"0";"";"0,176";"4"
"27";"5052";"53,1";"108,1";"27,6";"0,0298";"-50";"3";"0,32";"0,03";"0,33";"0,18";"0,14";"0,3";"0,7";"0,21";"0,42";"0,2";"0,14";"0,03";"0";"0,05";"0,22";"0,45";"0,29";"0";"13896";"0,48";"0,2";"0,02";"0,14";"0,15";"0";"0";"0";"0";"0";"0";"0";"0,11";"0,03";"0,48";"0,08";"0";"0,14";"0,15";"0,02";"0";"0,24";"0,05";"0,1";"0,11";"0,18";"0";"0";"0";"0";"0";"0,11";"0,1";"0";"0,1";"0,01";"0";"0,49";"0,41";"0,1";"0";"0";"1115,73";"0,4";"0,67";"0,5";"0,31";"458,5";"5";"2409,17";"2410,3";"969,3";"447,3";"0";"1";"2";"2";"2";"";"2";"1";"9,22";"1";"89";"1";"8310";"0";"0";"4";"0,075416";"0,056611";"0,059382";"0,159937";"0,145487";"0,117973";"0,174584";"0,21061";"19";"2";"";"5";"4";"0";"0";"0";"2";"0";"0,525732";"0,474268";"0,194";"0";"1";"0";"2";"0";"0";"1";"9998";"0";"1";"0,167";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,653";"0";"0";"";"0";"0";"";"0,18";"5"
"20";"9557";"54,1";"88";"25,3";"0,0179";"-99";"-2";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"9557";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"978,49";"997";"997";"997";"997";"647,5";"2";"2357,5";"2978,59";"1246,89";"440,78";"0";"2";"2";"2";"2";"";"2";"2";"19,97";"2";"249";"1";"1562";"2";"0";"4";"0,102752";"0,048237";"0,06163";"0,17359";"0,118447";"0,118029";"0,177671";"0,199644";"79";"2";"";"1";"1";"0";"1";"0";"0";"0";"0,494";"0,506";"0,122";"0";"4";"0";"11";"0";"0";"1";"1";"0";"0";"0,187";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,649";"0";"0";"";"0";"0";"";"0,164";"6"
"21";"142950";"53,2";"92,3";"25,5";"0,0543";"-237";"-168";"0,26";"0,08";"0,45";"0,11";"0,1";"0,34";"0,66";"0,23";"0,27";"0,22";"0,17";"0,05";"0,05";"0,31";"0,49";"0,16";"0,03";"0";"142950";"0,35";"0,05";"0,11";"0,27";"0,11";"0,1";"0";"0,01";"0";"0,11";"0,01";"0,03";"0,04";"0,01";"0,24";"0,07";"0";"0,27";"0,11";"0,11";"0,01";"0,13";"0,14";"0,11";"0,04";"0,07";"0";"0,01";"0,02";"0,03";"0,05";"0,08";"0,08";"0,07";"0,09";"0,07";"0,04";"0,39";"0,53";"0,03";"0";"0,01";"1168,42";"0,15";"0,36";"0,24";"0,16";"537,32";"2";"3345,17";"3371,95";"1153,24";"592,83";"0";"1";"2";"2";"2";"";"2";"16";"18,21";"14";"124";"5";"40176";"2";"1";"3";"0,097377";"0,048982";"0,059531";"0,157643";"0,150773";"0,134159";"0,158692";"0,192844";"12";"2";"";"9";"0";"0";"0";"0";"11";"9";"0,486";"0,514";"0,085";"0";"12";"0";"134";"0";"0";"0";"9997";"1";"2";"0,181";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,653";"1";"2";" 6 grup zajęciowych - zróżnicowanie poziomy.";"0";"0";"";"0,167";"7"
"22";"205312";"50,6";"103";"25,7";"0,0306";"-601";"-41";"0,3";"0,04";"0,5";"0,07";"0,09";"0,34";"0,66";"0,23";"0,36";"0,25";"0,13";"0,03";"0,01";"0,11";"0,3";"0,39";"0,2";"0";"205312";"0,52";"0,04";"0,04";"0,22";"0,14";"0,03";"0,01";"0,01";"0,05";"0,04";"0,01";"0,02";"0,16";"0,06";"0,23";"0,04";"0";"0,22";"0,14";"0,04";"0,01";"0,09";"0,1";"0,2";"0,13";"0,16";"0";"0,01";"0,01";"0,01";"0,02";"0,03";"0,06";"0,06";"0,06";"0,07";"0,03";"0,17";"0,58";"0,17";"0,01";"0,04";"1158,49";"0,46";"0,65";"0,72";"0,17";"448,25";"2";"3612,37";"4029,03";"1317,11";"485,91";"0";"1";"2";"2";"2";"";"2";"29";"14,12";"16";"148";"10";"215537";"10";"0";"3";"0,090794";"0,042862";"0,05741";"0,170521";"0,165309";"0,116394";"0,155972";"0,200738";"20";"2";"";"20";"0";"10";"1";"0";"3";"0";"0,463";"0,537";"0,082";"0";"42";"1";"51";"50";"3";"0";"9997";"0";"2";"0,166";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0,664";"1";"4";"Język angielski dla osób, które uczyły sie kiedy i chca poznać lepiej język.";"1";"10";"Szkolenie dla wolontariuszy.";"0,171";"8"
"23";"22239";"48,7";"69,6";"20";"0,0226";"-78";"-17";"0,22";"0,03";"0,56";"0,09";"0,09";"0,45";"0,55";"0,2";"0,3";"0,2";"0,19";"0,08";"0,04";"0,19";"0,31";"0,3";"0,2";"0";"22239";"0,42";"0,04";"0,09";"0,26";"0,12";"0,03";"0,02";"0";"0,03";"0,05";"0";"0";"0,1";"0,06";"0,2";"0,07";"0";"0,26";"0,12";"0,09";"0";"0,06";"0,19";"0,1";"0,07";"0,3";"0";"0,01";"0";"0,01";"0,02";"0,05";"0,07";"0,05";"0,07";"0";"0";"0,19";"0,46";"0,19";"0,01";"0,15";"1103,2";"0,6";"0,74";"0,39";"0,3";"593,88";"2";"2622,14";"2778,48";"1040,96";"504,48";"0";"2";"2";"2";"2";"";"2";"3";"10,54";"1";"136";"1";"6216";"0";"0";"2";"0,094294";"0,057916";"0,072485";"0,179954";"0,143667";"0,137641";"0,155358";"0,158685";"10";"2";"";"2";"0";"0";"0";"0";"0";"0";"0,483";"0,517";"0,231";"0";"0";"0";"0";"0";"0";"0";"9997";"0";"0";"0,193";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,673";"0";"0";"";"0";"0";"";"0,134";"9"
"28";"31025";"56,5";"106,5";"29,2";"0,0254";"75";"-11";"0,32";"0,09";"0,32";"0,17";"0,09";"0,43";"0,57";"0,45";"0,25";"0,16";"0,11";"0,03";"0";"0,13";"0,54";"0,21";"0,11";"0,01";"31025";"0,57";"0,03";"0,02";"0,2";"0,1";"0,07";"0";"0";"0,01";"0,07";"0";"0,27";"0,07";"0,05";"0,18";"0,02";"0";"0,2";"0,1";"0,02";"0,01";"0,09";"0,09";"0,15";"0,15";"0,07";"0";"0,01";"0";"0,01";"0,03";"0,08";"0,09";"0,11";"0,08";"0,04";"0,07";"0,26";"0,59";"0,07";"0";"0";"1239,2";"0,36";"0,38";"0,28";"0,19";"444,16";"2";"2655,33";"2859,17";"721,96";"360,88";"0";"1";"1";"1";"2";"";"2";"3";"13,75";"3";"221";"3";"14412";"0";"0";"1";"0,095794";"0,047768";"0,05444";"0,143916";"0,170959";"0,117035";"0,145302";"0,224786";"36";"2";"";"2";"3";"12";"0";"1";"0";"0";"0,48";"0,52";"0,114";"0";"8";"0";"11";"0";"0";"0";"9997";"0";"2";"0,175";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0,639";"0";"0";"";"0";"0";"";"0,186";"10"
